epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1160.79,0.99834,1.30923,1.20195,0.83246,0.74183,0.80866,0.65929,0.86304,1.14555,1.01908,0.000103968,0.000103968,0.000103968
43,1187.59,0.98669,1.28914,1.18008,0.82243,0.7266,0.81461,0.67096,0.81628,1.08064,0.99993,0.000102235,0.000102235,0.000102235
44,1214.68,0.96411,1.27809,1.16933,0.78767,0.79579,0.82332,0.67604,0.81964,1.08288,1.00844,0.000100503,0.000100503,0.000100503
45,1242.08,0.96189,1.26638,1.16999,0.82115,0.74498,0.82205,0.67762,0.83332,1.05622,1.00517,9.877e-05,9.877e-05,9.877e-05
46,1268.89,0.97803,1.26029,1.17448,0.84536,0.73186,0.82386,0.68463,0.80906,1.05075,1.00315,9.70375e-05,9.70375e-05,9.70375e-05
47,1295.63,0.95264,1.21537,1.15979,0.83344,0.77005,0.83506,0.6827,0.82255,1.03498,1.0116,9.5305e-05,9.5305e-05,9.5305e-05
48,1323.1,0.93424,1.22104,1.15987,0.81831,0.76724,0.82821,0.66027,0.86634,1.05577,1.02577,9.35725e-05,9.35725e-05,9.35725e-05
49,1350.07,0.94636,1.2183,1.16317,0.8587,0.74577,0.82874,0.67028,0.85653,1.04032,1.01825,9.184e-05,9.184e-05,9.184e-05
50,1377.14,0.93363,1.18121,1.15857,0.84124,0.7519,0.82228,0.66256,0.86188,1.06699,1.03065,9.01075e-05,9.01075e-05,9.01075e-05
51,1404.77,0.94147,1.18821,1.16088,0.83252,0.73941,0.81576,0.65978,0.81335,1.05167,1.00385,8.8375e-05,8.8375e-05,8.8375e-05
52,1431.39,0.93711,1.18839,1.15405,0.81175,0.76592,0.81854,0.66542,0.83835,1.03739,1.02671,8.66425e-05,8.66425e-05,8.66425e-05
53,1458.98,0.93667,1.18417,1.1587,0.86449,0.75737,0.82652,0.65869,0.8827,1.0649,1.03788,8.491e-05,8.491e-05,8.491e-05
